Zone,Year,Month,Rainfall,SPI
Assam Meghalaya,1987,Jan,6.3,-1.181693937
Assam Meghalaya,1988,Jan,9.8,-0.986332796
Assam Meghalaya,1989,Jan,10.8,-0.051884949
Assam Meghalaya,1990,Jan,10.5,-1.346900975
Assam Meghalaya,1991,Jan,11.3,0.448038499
Assam Meghalaya,1992,Jan,18.2,-0.443185161
Assam Meghalaya,1993,Jan,63.6,-0.067679187
Assam Meghalaya,1994,Jan,25.9,1.337363346
Assam Meghalaya,1995,Jan,12.2,0.101156441
Assam Meghalaya,1996,Jan,14.5,1.24214032
Assam Meghalaya,1997,Jan,20.9,0.211483207
Assam Meghalaya,1998,Jan,13.8,0.14784771
Assam Meghalaya,1999,Jan,1.1,-1.276160151
Assam Meghalaya,2000,Jan,20.9,-0.911210528
Assam Meghalaya,2001,Jan,5.7,-0.572965745
Assam Meghalaya,2002,Jan,22.7,0.052474729
Assam Meghalaya,2003,Jan,8.2,0.211483207
Assam Meghalaya,2004,Jan,14.1,0.731891585
Assam Meghalaya,2005,Jan,21.2,0.306837681
Assam Meghalaya,2006,Jan,0.5,-1.346900975
Assam Meghalaya,2007,Jan,1.3,-0.587219128
Assam Meghalaya,2008,Jan,38.8,0.869674108
Assam Meghalaya,2009,Jan,7.2,-0.866089629
Assam Meghalaya,2010,Jan,3.1,-1.013868778
Assam Meghalaya,2011,Jan,8.3,-0.616567016
Assam Meghalaya,2012,Jan,13.4,0.473556503
Assam Meghalaya,2013,Jan,0.8,-0.168049644
Assam Meghalaya,2014,Jan,1.5,0.503565381
Assam Meghalaya,2015,Jan,14.5,0.384749779
Assam Meghalaya,2016,Jan,20.3,0.14129153
